first_name,last_name,full_name,year_id,set_id,card_number,team,onbase,strikeout,groundball,flyball,base_on_balls,single,single_plus,double,triple,homerun,points,speed,hand,starting_position,fielding_one,starting_position_two,fielding_two,starting_position_three,fielding_three,starting_position_four,fielding_four,total_outs,extra_base_hits,number_of_positions
Ron,Belliard,Ron Belliard,2000,BS,233,Brewers,9,0,3,2,5,7,0,2,0,1,270,15,R,2B,2,NULL,NULL,NULL,NULL,NULL,NULL,5,3,1
Sean,Berry,Sean Berry,2000,BS,234,Brewers,5,0,1,1,3,12,0,2,0,1,30,10,R,1B,0,NULL,NULL,NULL,NULL,NULL,NULL,2,3,1
Jeromy,Burnitz,Jeromy Burnitz,2000,BS,235,Brewers,10,3,0,2,8,2,0,2,0,3,470,15,L,LFRF,1,NULL,NULL,NULL,NULL,NULL,NULL,5,5,1
Jeff,Cirillo,Jeff Cirillo,2000,BS,236,Brewers,10,1,2,2,4,8,0,2,0,1,370,15,R,3B,3,NULL,NULL,NULL,NULL,NULL,NULL,5,3,1
Marquis,Grissom,Marquis Grissom,2000,BS,237,Brewers,7,1,2,2,2,7,2,1,0,3,260,20,R,OF,1,NULL,NULL,NULL,NULL,NULL,NULL,5,6,1
Geoff,Jenkins,Geoff Jenkins,2000,BS,238,Brewers,8,1,1,1,2,6,0,5,1,3,360,15,L,LFRF,1,NULL,NULL,NULL,NULL,NULL,NULL,3,9,1
Mark,Loretta,Mark Loretta,2000,BS,240,Brewers,8,0,2,2,4,9,0,2,1,0,190,15,R,SS,1,1B,1,NULL,NULL,NULL,NULL,4,3,2
David,Nilsson,David Nilsson,2000,BS,242,Brewers,10,1,1,3,5,6,0,1,0,3,450,10,L,C,4,NULL,NULL,NULL,NULL,NULL,NULL,5,4,1
Alex,Ochoa,Alex Ochoa,2000,BS,244,Brewers,10,0,3,2,6,5,1,2,0,1,340,15,R,LFRF,1,NULL,NULL,NULL,NULL,NULL,NULL,5,4,1
Jose,Valentin,Jose Valentin,2000,BS,245,Brewers,7,1,0,3,9,3,0,0,1,3,210,15,S,SS,1,NULL,NULL,NULL,NULL,NULL,NULL,4,4,1
Chad,Allen,Chad Allen,2000,BS,248,Twins,7,1,2,0,2,10,1,1,1,2,240,20,R,LFRF,1,NULL,NULL,NULL,NULL,NULL,NULL,3,5,1
Ron,Coomer,Ron Coomer,2000,BS,249,Twins,6,0,1,1,1,10,0,3,0,4,200,15,R,1B,1,3B,3,NULL,NULL,NULL,NULL,2,7,2
Cristian,Guzman,Cristian Guzman,2000,BS,250,Twins,5,0,2,0,1,15,2,0,0,0,20,15,S,SS,0,NULL,NULL,NULL,NULL,NULL,NULL,2,2,1
Denny,Hocking,Denny Hocking,2000,BS,251,Twins,6,0,2,1,1,10,2,2,0,2,200,20,S,2B,2,SS,2,OF,1,NULL,NULL,3,6,3
Torii,Hunter,Torii Hunter,2000,BS,252,Twins,6,0,2,0,3,9,2,1,0,3,160,15,R,OF,1,NULL,NULL,NULL,NULL,NULL,NULL,2,6,1
Corey,Koskie,Corey Koskie,2000,BS,253,Twins,9,2,1,1,4,8,0,2,0,2,350,15,L,3B,2,NULL,NULL,NULL,NULL,NULL,NULL,4,4,1
Matt,Lawton,Matt Lawton,2000,BS,254,Twins,8,0,4,1,6,5,2,1,0,1,220,20,L,LFRF,1,NULL,NULL,NULL,NULL,NULL,NULL,5,4,1
Doug,Mientkiewicz,Doug Mientkiewicz,2000,BS,256,Twins,7,0,1,3,7,5,0,3,1,0,90,10,L,1B,1,NULL,NULL,NULL,NULL,NULL,NULL,4,4,1
Terry,Steinbach,Terry Steinbach,2000,BS,259,Twins,8,0,3,1,4,9,0,1,1,1,220,15,R,C,4,NULL,NULL,NULL,NULL,NULL,NULL,4,3,1
Todd,Walker,Todd Walker,2000,BS,261,Twins,7,0,2,1,3,6,2,4,1,1,220,20,L,2B,1,NULL,NULL,NULL,NULL,NULL,NULL,3,8,1
Shane,Andrews,Shane Andrews,2000,BS,263,Expos,6,3,1,1,9,1,0,0,0,5,140,10,R,3B,1,NULL,NULL,NULL,NULL,NULL,NULL,5,5,1
Michael,Barrett,Michael Barrett,2000,BS,264,Expos,7,0,2,1,2,9,0,4,1,1,170,10,R,C,4,3B,0,NULL,NULL,NULL,NULL,3,6,2
Orlando,Cabrera,Orlando Cabrera,2000,BS,265,Expos,6,0,3,2,0,8,0,4,1,2,150,15,R,SS,5,NULL,NULL,NULL,NULL,NULL,NULL,5,7,1
Brad,Fullmer,Brad Fullmer,2000,BS,266,Expos,6,0,1,1,0,7,0,8,0,3,180,15,L,1B,0,NULL,NULL,NULL,NULL,NULL,NULL,2,11,1
Vladimir,Guerrero,Vladimir Guerrero,2000,BS,267,Expos,8,0,2,2,2,6,1,2,1,4,370,15,R,LFRF,1,NULL,NULL,NULL,NULL,NULL,NULL,4,8,1
Wilton,Guerrero,Wilton Guerrero,2000,BS,268,Expos,7,0,4,0,0,11,1,2,2,0,150,15,S,2B,1,NULL,NULL,NULL,NULL,NULL,NULL,4,5,1
Manny,Martinez,Manny Martinez,2000,BS,271,Expos,5,0,1,1,0,8,5,1,4,0,90,20,R,OF,1,NULL,NULL,NULL,NULL,NULL,NULL,2,10,1
Jose,Vidro,Jose Vidro,2000,BS,275,Expos,8,0,3,2,1,7,0,5,0,2,260,10,S,2B,1,NULL,NULL,NULL,NULL,NULL,NULL,5,7,1
Rondell,White,Rondell White,2000,BS,276,Expos,8,0,3,1,2,8,1,1,1,3,340,15,R,OF,2,NULL,NULL,NULL,NULL,NULL,NULL,4,6,1
Chris,Widger,Chris Widger,2000,BS,277,Expos,7,2,1,1,3,7,0,3,0,3,210,10,R,C,4,NULL,NULL,NULL,NULL,NULL,NULL,4,6,1
Edgardo,Alfonzo,Edgardo Alfonzo,2000,BS,278,Mets,9,0,1,4,5,6,0,2,0,2,350,15,R,2B,5,NULL,NULL,NULL,NULL,NULL,NULL,5,4,1
Roger,Cedeno,Roger Cedeno,2000,BS,280,Mets,10,3,2,0,5,4,4,1,1,0,400,20,S,LFRF,1,NULL,NULL,NULL,NULL,NULL,NULL,5,6,1
Shawon,Dunston,Shawon Dunston,2000,BS,282,Mets,7,1,1,1,0,11,2,1,1,2,270,20,R,CF,2,LFRF,1,NULL,NULL,NULL,NULL,3,6,2
Matt,Franco,Matt Franco,2000,BS,283,Mets,8,0,3,1,8,5,0,1,0,2,210,10,L,1B,0,3B,0,LFRF,1,NULL,NULL,4,3,3
Darryl,Hamilton,Darryl Hamilton,2000,BS,284,Mets,9,0,3,1,4,10,0,1,0,1,290,15,L,OF,1,NULL,NULL,NULL,NULL,NULL,NULL,4,2,1
Rickey,Henderson,Rickey Henderson,2000,BS,285,Mets,10,1,1,1,7,5,2,2,0,1,450,20,R,LFRF,1,NULL,NULL,NULL,NULL,NULL,NULL,3,5,1
John,Olerud,John Olerud,2000,BS,288,Mets,10,0,3,1,8,5,0,2,0,1,290,10,L,1B,1,NULL,NULL,NULL,NULL,NULL,NULL,4,3,1
Rey,Ordonez,Rey Ordonez,2000,BS,289,Mets,6,0,2,1,1,13,1,2,0,0,90,15,R,SS,5,NULL,NULL,NULL,NULL,NULL,NULL,3,3,1
Mike,Piazza,Mike Piazza,2000,BS,290,Mets,8,0,2,2,2,7,0,2,0,5,410,15,R,C,4,NULL,NULL,NULL,NULL,NULL,NULL,4,7,1
Robin,Ventura,Robin Ventura,2000,BS,292,Mets,9,1,1,3,4,6,0,2,0,3,370,10,L,3B,3,NULL,NULL,NULL,NULL,NULL,NULL,5,5,1
Scott,Brosius,Scott Brosius,2000,BS,295,Yankees,6,0,1,2,4,5,1,3,0,4,190,15,R,3B,3,NULL,NULL,NULL,NULL,NULL,NULL,3,8,1
Chad,Curtis,Chad Curtis,2000,BS,298,Yankees,10,1,2,2,8,5,1,0,0,1,310,15,R,LFRF,2,NULL,NULL,NULL,NULL,NULL,NULL,5,2,1
Chili,Davis,Chili Davis,2000,BS,299,Yankees,8,1,2,1,6,6,0,2,0,2,230,15,S,DH,0,NULL,NULL,NULL,NULL,NULL,NULL,4,4,1
Derek,Jeter,Derek Jeter,2000,BS,301,Yankees,10,1,2,0,5,7,1,1,1,2,490,15,R,SS,3,NULL,NULL,NULL,NULL,NULL,NULL,3,5,1
Chuck,Knoblauch,Chuck Knoblauch,2000,BS,302,Yankees,9,0,1,3,7,5,1,2,0,1,330,20,R,2B,1,NULL,NULL,NULL,NULL,NULL,NULL,4,4,1
Ricky,Ledee,Ricky Ledee,2000,BS,303,Yankees,7,2,0,1,4,6,1,2,1,3,240,15,L,LFRF,1,NULL,NULL,NULL,NULL,NULL,NULL,3,7,1
Tino,Martinez,Tino Martinez,2000,BS,304,Yankees,7,0,1,2,5,6,0,2,0,4,250,15,L,1B,1,NULL,NULL,NULL,NULL,NULL,NULL,3,6,1
Paul,O'Neill,Paul O'Neill,2000,BS,306,Yankees,8,0,3,1,4,6,1,3,0,2,260,15,L,LFRF,1,NULL,NULL,NULL,NULL,NULL,NULL,4,6,1
Jorge,Posada,Jorge Posada,2000,BS,308,Yankees,7,2,1,0,8,5,0,2,0,2,160,10,S,C,5,NULL,NULL,NULL,NULL,NULL,NULL,3,4,1
Bernie,Williams,Bernie Williams,2000,BS,311,Yankees,10,1,2,1,4,8,0,1,1,2,510,15,S,OF,1,NULL,NULL,NULL,NULL,NULL,NULL,4,4,1
Eric,Chavez,Eric Chavez,2000,BS,313,Athletics,7,0,2,2,5,5,0,2,1,3,210,10,L,3B,3,NULL,NULL,NULL,NULL,NULL,NULL,4,6,1
Ryan,Christenson,Ryan Christenson,2000,BS,314,Athletics,6,1,1,2,9,4,1,1,0,1,70,15,R,OF,1,NULL,NULL,NULL,NULL,NULL,NULL,4,3,1
Jason,Giambi,Jason Giambi,2000,BS,315,Athletics,10,1,1,2,6,5,0,2,0,3,460,10,L,1B,0,NULL,NULL,NULL,NULL,NULL,NULL,4,5,1
Ben,Grieve,Ben Grieve,2000,BS,316,Athletics,8,1,2,1,6,5,0,1,0,4,320,15,L,LFRF,0,NULL,NULL,NULL,NULL,NULL,NULL,4,5,1
A.,J. Hinch,A. J. Hinch,2000,BS,319,Athletics,5,0,1,2,1,7,3,0,0,6,180,20,R,C,5,NULL,NULL,NULL,NULL,NULL,NULL,3,9,1
John,Jaha,John Jaha,2000,BS,320,Athletics,10,2,1,1,9,3,0,1,0,3,400,10,R,DH,0,NULL,NULL,NULL,NULL,NULL,NULL,4,4,1
Tony,Phillips,Tony Phillips,2000,BS,323,Athletics,8,1,1,2,8,2,1,2,1,2,300,15,S,2B,2,OF,1,NULL,NULL,NULL,NULL,4,6,2
Matt,Stairs,Matt Stairs,2000,BS,324,Athletics,8,1,1,2,7,3,0,1,0,5,360,15,L,LFRF,0,NULL,NULL,NULL,NULL,NULL,NULL,4,6,1
Miguel,Tejada,Miguel Tejada,2000,BS,325,Athletics,7,0,3,2,5,3,1,2,1,3,220,15,R,SS,2,NULL,NULL,NULL,NULL,NULL,NULL,5,7,1
Randy,Velarde,Randy Velarde,2000,BS,326,Athletics,9,1,2,1,4,8,1,1,1,1,380,20,R,2B,4,NULL,NULL,NULL,NULL,NULL,NULL,4,4,1
Bobby,Abreu,Bobby Abreu,2000,BS,327,Phillies,10,2,1,0,6,5,1,2,1,2,550,20,L,LFRF,1,NULL,NULL,NULL,NULL,NULL,NULL,3,6,1
Marlon,Anderson,Marlon Anderson,2000,BS,328,Phillies,6,0,3,1,0,8,2,4,1,1,150,20,L,2B,3,NULL,NULL,NULL,NULL,NULL,NULL,4,8,1
Alex,Arias,Alex Arias,2000,BS,329,Phillies,8,0,3,1,3,10,0,2,0,1,220,15,R,SS,3,NULL,NULL,NULL,NULL,NULL,NULL,4,3,1
Rico,Brogna,Rico Brogna,2000,BS,330,Phillies,7,2,1,1,2,7,1,2,1,3,240,15,L,1B,1,NULL,NULL,NULL,NULL,NULL,NULL,4,7,1
Ron,Gant,Ron Gant,2000,BS,332,Phillies,9,2,1,2,7,3,1,1,1,2,330,15,R,LFRF,1,NULL,NULL,NULL,NULL,NULL,NULL,5,5,1
Doug,Glanville,Doug Glanville,2000,BS,333,Phillies,9,1,3,1,2,7,2,2,1,1,390,20,R,CF,2,LFRF,1,NULL,NULL,NULL,NULL,5,6,2
Kevin,Jordan,Kevin Jordan,2000,BS,335,Phillies,7,0,2,1,3,11,0,1,1,1,150,10,R,2B,1,3B,2,NULL,NULL,NULL,NULL,3,3,2
Mike,Lieberthal,Mike Lieberthal,2000,BS,336,Phillies,8,1,1,2,3,6,0,3,0,4,340,10,R,C,6,NULL,NULL,NULL,NULL,NULL,NULL,4,7,1
Scott,Rolen,Scott Rolen,2000,BS,339,Phillies,9,3,0,2,6,2,1,2,0,4,460,15,R,3B,3,NULL,NULL,NULL,NULL,NULL,NULL,5,7,1
Kevin,Sefcik,Kevin Sefcik,2000,BS,341,Phillies,9,0,4,1,5,5,1,3,1,0,310,20,R,OF,1,NULL,NULL,NULL,NULL,NULL,NULL,5,5,1
Mike,Benjamin,Mike Benjamin,2000,BS,342,Pirates,5,1,0,1,0,6,3,6,3,0,110,20,R,SS,5,NULL,NULL,NULL,NULL,NULL,NULL,2,12,1
Adrian,Brown,Adrian Brown,2000,BS,344,Pirates,8,1,3,0,6,7,1,0,1,1,210,15,S,OF,0,NULL,NULL,NULL,NULL,NULL,NULL,4,3,1
Brant,Brown,Brant Brown,2000,BS,345,Pirates,5,2,0,0,1,2,1,5,1,8,220,15,L,OF,1,NULL,NULL,NULL,NULL,NULL,NULL,2,15,1
Brian,Giles,Brian Giles,2000,BS,347,Pirates,10,0,1,3,6,4,0,2,0,4,610,15,L,OF,1,NULL,NULL,NULL,NULL,NULL,NULL,4,6,1
Jason,Kendall,Jason Kendall,2000,BS,348,Pirates,10,0,3,1,6,5,2,2,0,1,460,20,R,C,9,NULL,NULL,NULL,NULL,NULL,NULL,4,5,1
Al,Martin,Al Martin,2000,BS,349,Pirates,7,1,1,1,3,4,2,3,1,4,320,20,L,LFRF,1,NULL,NULL,NULL,NULL,NULL,NULL,3,10,1
Warren,Morris,Warren Morris,2000,BS,350,Pirates,8,0,2,2,4,9,0,1,0,2,260,15,L,2B,3,NULL,NULL,NULL,NULL,NULL,NULL,4,3,1
Ed,Sprague,Ed Sprague,2000,BS,354,Pirates,8,1,1,3,5,5,0,2,0,3,280,15,R,3B,0,NULL,NULL,NULL,NULL,NULL,NULL,5,5,1
Kevin,Young,Kevin Young,2000,BS,356,Pirates,9,2,0,2,5,4,1,3,1,2,440,20,R,1B,1,NULL,NULL,NULL,NULL,NULL,NULL,4,7,1
Ben,Davis,Ben Davis,2000,BS,358,Padres,6,2,1,0,3,9,0,3,0,2,150,15,S,C,9,NULL,NULL,NULL,NULL,NULL,NULL,3,5,1
Tony,Gwynn,Tony Gwynn,2000,BS,359,Padres,9,0,3,2,1,10,1,2,0,1,290,15,L,LFRF,1,NULL,NULL,NULL,NULL,NULL,NULL,5,4,1
Damian,Jackson,Damian Jackson,2000,BS,362,Padres,7,3,0,2,7,0,4,2,0,2,210,20,R,SS,3,NULL,NULL,NULL,NULL,NULL,NULL,5,8,1
Wally,Joyner,Wally Joyner,2000,BS,363,Padres,8,0,2,2,8,6,0,1,0,1,140,10,L,1B,0,NULL,NULL,NULL,NULL,NULL,NULL,4,2,1
Phil,Nevin,Phil Nevin,2000,BS,364,Padres,8,1,1,2,6,3,0,3,0,4,350,10,R,C,5,3B,3,NULL,NULL,NULL,NULL,4,7,2
Eric,Owens,Eric Owens,2000,BS,365,Padres,7,0,3,1,3,6,3,2,1,1,210,20,R,CF,2,LFRF,1,NULL,NULL,NULL,NULL,4,7,2
Ruben,Rivera,Ruben Rivera,2000,BS,366,Padres,6,4,0,1,9,0,0,1,0,5,210,20,R,OF,2,NULL,NULL,NULL,NULL,NULL,NULL,5,6,1
Reggie,Sanders,Reggie Sanders,2000,BS,367,Padres,9,2,1,2,5,3,2,1,1,3,470,20,R,LFRF,1,NULL,NULL,NULL,NULL,NULL,NULL,5,7,1
John,Vander Wal,John Vander Wal,2000,BS,368,Padres,9,3,2,0,6,5,0,3,0,1,280,15,L,LFRF,1,1B,0,NULL,NULL,NULL,NULL,5,4,2
Quilvio,Veras,Quilvio Veras,2000,BS,369,Padres,9,2,3,0,5,5,2,2,0,1,360,20,S,2B,3,NULL,NULL,NULL,NULL,NULL,NULL,5,5,1
Rich,Aurilia,Rich Aurilia,2000,BS,372,Giants,7,0,1,2,3,10,0,1,0,3,230,15,R,SS,3,NULL,NULL,NULL,NULL,NULL,NULL,3,4,1
Marvin,Benard,Marvin Benard,2000,BS,373,Giants,8,1,2,1,4,5,2,2,1,2,340,20,L,CF,1,LFRF,0,NULL,NULL,NULL,NULL,4,7,2
Barry,Bonds,Barry Bonds,2000,BS,374,Giants,9,0,1,4,7,0,1,2,0,5,560,20,L,LFRF,1,NULL,NULL,NULL,NULL,NULL,NULL,5,8,1
Ellis,Burks,Ellis Burks,2000,BS,375,Giants,9,1,1,2,7,3,1,1,0,4,440,15,R,LFRF,0,NULL,NULL,NULL,NULL,NULL,NULL,4,6,1
Jeff,Kent,Jeff Kent,2000,BS,379,Giants,8,1,0,2,5,4,1,4,0,3,340,15,R,2B,3,NULL,NULL,NULL,NULL,NULL,NULL,3,8,1
Brent,Mayne,Brent Mayne,2000,BS,380,Giants,9,2,1,1,5,7,0,4,0,0,250,15,L,C,6,NULL,NULL,NULL,NULL,NULL,NULL,4,4,1
Bill,Mueller,Bill Mueller,2000,BS,381,Giants,9,0,3,1,7,8,0,1,0,0,220,15,S,3B,3,NULL,NULL,NULL,NULL,NULL,NULL,4,1,1
F.,P. Santangelo,F. P. Santangelo,2000,BS,385,Giants,10,2,1,2,9,3,1,2,0,0,350,20,S,OF,1,NULL,NULL,NULL,NULL,NULL,NULL,5,3,1
J.,T. Snow,J. T. Snow,2000,BS,386,Giants,8,1,0,2,7,6,0,1,0,3,260,10,L,1B,0,NULL,NULL,NULL,NULL,NULL,NULL,3,4,1
David,Bell,David Bell,2000,BS,387,Mariners,7,0,2,2,4,6,1,2,0,3,220,15,R,2B,3,NULL,NULL,NULL,NULL,NULL,NULL,4,6,1
Jay,Buhner,Jay Buhner,2000,BS,388,Mariners,9,4,0,0,11,2,0,1,0,2,260,10,R,LFRF,0,NULL,NULL,NULL,NULL,NULL,NULL,4,3,1
Russ,Davis,Russ Davis,2000,BS,389,Mariners,6,1,0,2,3,7,0,1,0,6,220,15,R,3B,0,NULL,NULL,NULL,NULL,NULL,NULL,3,7,1
Ken,Griffey Jr.,Ken Griffey Jr.,2000,BS,391,Mariners,9,0,1,4,5,3,1,1,0,5,590,20,L,CF,2,LFRF,1,NULL,NULL,NULL,NULL,5,7,2
Brian,L. Hunter,Brian L. Hunter,2000,BS,393,Mariners,5,0,2,0,1,7,7,0,2,1,90,20,R,LFRF,2,NULL,NULL,NULL,NULL,NULL,NULL,2,10,1
Raul,Ibanez,Raul Ibanez,2000,BS,394,Mariners,6,0,1,1,2,9,2,1,0,4,190,15,L,LFRF,2,1B,0,NULL,NULL,NULL,NULL,2,7,2
Tom,Lampkin,Tom Lampkin,2000,BS,395,Mariners,8,0,2,3,2,7,0,2,1,3,340,15,L,C,9,NULL,NULL,NULL,NULL,NULL,NULL,5,6,1
Edgar,Martinez,Edgar Martinez,2000,BS,396,Mariners,10,1,1,0,7,7,0,2,0,2,430,15,R,DH,0,NULL,NULL,NULL,NULL,NULL,NULL,2,4,1
Alex,Rodriguez,Alex Rodriguez,2000,BS,400,Mariners,8,1,1,2,5,3,1,1,0,6,510,20,R,SS,5,NULL,NULL,NULL,NULL,NULL,NULL,4,8,1
Dan,Wilson,Dan Wilson,2000,BS,401,Mariners,7,2,1,2,1,9,1,2,1,1,170,15,R,C,4,NULL,NULL,NULL,NULL,NULL,NULL,5,5,1
Darren,Bragg,Darren Bragg,2000,BS,405,Cardinals,9,3,2,0,7,6,0,1,0,1,260,15,L,OF,2,NULL,NULL,NULL,NULL,NULL,NULL,5,2,1
Alberto,Castillo,Alberto Castillo,2000,BS,406,Cardinals,7,1,3,0,4,11,0,0,0,1,130,10,R,C,10,NULL,NULL,NULL,NULL,NULL,NULL,4,1,1
J.,D. Drew,J. D. Drew,2000,BS,407,Cardinals,8,1,1,3,7,2,2,1,1,2,310,20,L,OF,1,NULL,NULL,NULL,NULL,NULL,NULL,5,6,1
Ray,Lankford,Ray Lankford,2000,BS,409,Cardinals,9,4,0,1,4,5,1,3,0,2,410,20,L,LFRF,2,NULL,NULL,NULL,NULL,NULL,NULL,5,6,1
Joe,Mcewing,Joe Mcewing,2000,BS,410,Cardinals,7,1,3,0,2,9,1,2,1,1,190,15,R,2B,3,OF,1,NULL,NULL,NULL,NULL,4,5,2
Willie,Mcgee,Willie Mcgee,2000,BS,411,Cardinals,6,2,3,0,0,13,2,0,0,0,50,15,S,OF,0,NULL,NULL,NULL,NULL,NULL,NULL,5,2,1
Mark,Mcgwire,Mark Mcgwire,2000,BS,412,Cardinals,10,2,0,3,8,1,0,1,0,5,570,10,R,1B,0,NULL,NULL,NULL,NULL,NULL,NULL,5,6,1
Edgar,Renteria,Edgar Renteria,2000,BS,415,Cardinals,7,0,1,2,4,6,3,3,0,1,210,20,R,SS,3,NULL,NULL,NULL,NULL,NULL,NULL,3,7,1
Fernando,Tatis,Fernando Tatis,2000,BS,416,Cardinals,10,3,0,2,6,3,1,2,0,3,570,20,R,3B,1,NULL,NULL,NULL,NULL,NULL,NULL,5,6,1
Wade,Boggs,Wade Boggs,2000,BS,419,Devil Rays,9,0,4,1,4,9,0,1,0,1,220,10,L,3B,1,NULL,NULL,NULL,NULL,NULL,NULL,5,2,1
Miguel,Cairo,Miguel Cairo,2000,BS,420,Devil Rays,8,0,3,2,1,10,2,1,1,0,240,20,R,2B,4,NULL,NULL,NULL,NULL,NULL,NULL,5,4,1
Jose,Canseco,Jose Canseco,2000,BS,421,Devil Rays,8,3,0,1,6,4,0,1,0,5,350,15,R,DH,0,NULL,NULL,NULL,NULL,NULL,NULL,4,6,1
John,Flaherty,John Flaherty,2000,BS,422,Devil Rays,7,0,2,3,0,11,0,1,0,3,210,10,R,C,8,NULL,NULL,NULL,NULL,NULL,NULL,5,4,1
Dave,Martinez,Dave Martinez,2000,BS,424,Devil Rays,8,1,1,2,4,8,1,1,1,1,230,15,L,CF,0,LFRF,1,NULL,NULL,NULL,NULL,4,4,2
Fred,Mcgriff,Fred Mcgriff,2000,BS,425,Devil Rays,10,2,2,1,5,6,0,1,0,3,430,10,L,1B,0,NULL,NULL,NULL,NULL,NULL,NULL,5,4,1
Paul,Sorrento,Paul Sorrento,2000,BS,426,Devil Rays,8,4,0,0,9,4,0,1,0,2,190,10,L,LFRF,0,NULL,NULL,NULL,NULL,NULL,NULL,4,3,1
Kevin,Stocker,Kevin Stocker,2000,BS,427,Devil Rays,9,1,2,2,4,9,1,1,0,0,300,20,S,SS,4,NULL,NULL,NULL,NULL,NULL,NULL,5,2,1
Bubba,Trammell,Bubba Trammell,2000,BS,428,Devil Rays,9,0,1,3,5,6,0,2,0,3,370,10,R,LFRF,1,NULL,NULL,NULL,NULL,NULL,NULL,4,5,1
Randy,Winn,Randy Winn,2000,BS,430,Devil Rays,6,1,2,0,0,10,2,3,2,0,140,20,S,OF,1,NULL,NULL,NULL,NULL,NULL,NULL,3,7,1
Royce,Clayton,Royce Clayton,2000,BS,432,Rangers,8,3,2,0,3,7,1,1,1,2,280,15,R,SS,4,NULL,NULL,NULL,NULL,NULL,NULL,5,5,1
Juan,Gonzalez,Juan Gonzalez,2000,BS,434,Rangers,9,2,0,3,2,7,0,2,0,4,460,15,R,LFRF,0,NULL,NULL,NULL,NULL,NULL,NULL,5,6,1
Tom,Goodwin,Tom Goodwin,2000,BS,435,Rangers,7,0,3,1,4,6,4,0,2,0,170,20,L,CF,2,LFRF,1,NULL,NULL,NULL,NULL,4,6,2
Rusty,Greer,Rusty Greer,2000,BS,436,Rangers,10,0,3,2,6,5,0,2,0,2,360,10,L,LFRF,1,NULL,NULL,NULL,NULL,NULL,NULL,5,4,1
Mark,Mclemore,Mark Mclemore,2000,BS,438,Rangers,8,0,2,1,6,8,1,0,1,1,240,15,S,2B,3,NULL,NULL,NULL,NULL,NULL,NULL,3,3,1
Rafael,Palmeiro,Rafael Palmeiro,2000,BS,440,Rangers,10,0,0,4,5,5,0,2,0,4,520,10,L,DH,0,NULL,NULL,NULL,NULL,NULL,NULL,4,6,1
Ivan,Rodriguez,Ivan Rodriguez,2000,BS,441,Rangers,8,0,3,1,0,8,2,2,0,4,450,20,R,C,11,NULL,NULL,NULL,NULL,NULL,NULL,4,8,1
Lee,Stevens,Lee Stevens,2000,BS,443,Rangers,7,2,1,0,3,7,0,3,0,4,270,15,L,1B,1,NULL,NULL,NULL,NULL,NULL,NULL,3,7,1
Todd,Zeile,Todd Zeile,2000,BS,446,Rangers,8,0,2,2,3,7,0,3,0,3,280,10,R,3B,1,NULL,NULL,NULL,NULL,NULL,NULL,4,6,1
Tony,Batista,Tony Batista,2000,BS,448,Blue Jays,7,0,0,4,2,6,0,3,0,5,310,15,R,SS,3,NULL,NULL,NULL,NULL,NULL,NULL,4,8,1
Homer,Bush,Homer Bush,2000,BS,449,Blue Jays,8,1,4,0,0,8,3,2,1,1,290,20,R,2B,2,NULL,NULL,NULL,NULL,NULL,NULL,5,7,1
Jose,Cruz Jr.,Jose Cruz Jr.,2000,BS,450,Blue Jays,8,3,1,1,7,2,1,2,1,2,320,20,S,OF,1,NULL,NULL,NULL,NULL,NULL,NULL,5,6,1
Carlos,Delgado,Carlos Delgado,2000,BS,451,Blue Jays,9,2,0,3,6,3,0,2,0,4,410,10,L,1B,0,NULL,NULL,NULL,NULL,NULL,NULL,5,6,1
Tony,Fernandez,Tony Fernandez,2000,BS,453,Blue Jays,10,0,3,1,5,7,0,3,0,1,390,15,S,3B,1,NULL,NULL,NULL,NULL,NULL,NULL,4,4,1
Darrin,Fletcher,Darrin Fletcher,2000,BS,454,Blue Jays,8,0,1,4,2,7,0,3,0,3,290,10,L,C,5,NULL,NULL,NULL,NULL,NULL,NULL,5,6,1
Shawn,Green,Shawn Green,2000,BS,455,Blue Jays,9,1,2,1,4,4,1,3,0,4,540,20,L,LFRF,1,NULL,NULL,NULL,NULL,NULL,NULL,4,8,1
Brian,Mcrae,Brian Mcrae,2000,BS,459,Blue Jays,7,1,2,1,9,4,0,1,0,2,160,15,S,OF,1,NULL,NULL,NULL,NULL,NULL,NULL,4,3,1
David,Segui,David Segui,2000,BS,460,Blue Jays,8,0,2,3,2,8,0,2,1,2,250,10,S,1B,0,NULL,NULL,NULL,NULL,NULL,NULL,5,5,1
Shannon,Stewart,Shannon Stewart,2000,BS,461,Blue Jays,9,0,4,1,4,7,2,1,0,1,320,20,R,LFRF,1,NULL,NULL,NULL,NULL,NULL,NULL,5,4,1
Adam,Kennedy,Adam Kennedy,2000,PR,3,Angels,7,0,1,3,1,7,1,4,1,2,260,20,L,2B,2,NULL,NULL,NULL,NULL,NULL,NULL,4,8,1
Ben,Molina,Ben Molina,2000,PR,4,Angels,6,0,2,1,3,10,0,3,0,1,120,10,R,C,8,NULL,NULL,NULL,NULL,NULL,NULL,3,4,1
Scott,Spiezio,Scott Spiezio,2000,PR,5,Angels,7,0,0,4,5,2,0,6,0,3,210,10,S,DH,0,NULL,NULL,NULL,NULL,NULL,NULL,4,9,1
Erubiel,Durazo,Erubiel Durazo,2000,PR,7,Diamondbacks,10,4,0,0,4,8,0,1,0,3,510,15,L,1B,0,NULL,NULL,NULL,NULL,NULL,NULL,4,4,1
